SeriesName,CountryName,CountryCode,ContinentName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Poverty headcount ratio at national poverty lines (% of population),Guatemala,GTM,North America,56,..,..,..,..,..,51,..,..,..,..,..,..,..,59.3,..
Poverty headcount ratio at national poverty lines (% of population),Guinea,GIN,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Guinea-Bissau,GNB,Africa,..,..,64.7,..,..,..,..,..,..,..,69.3,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Guyana,GUY,South America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Haiti,HTI,North America,..,..,..,..,..,..,..,..,..,..,..,..,58.5,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Honduras,HND,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.2,52.2
Poverty headcount ratio at national poverty lines (% of population),"Hong Kong SAR, China",HKG,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Hungary,HUN,Europe,..,..,..,..,13.5,15.9,12.3,12.4,12.4,12.3,14.1,14.3,15,15,14.9,14.5
Poverty headcount ratio at national poverty lines (% of population),Iceland,ISL,Europe,..,..,..,10,9.7,9.6,10.1,10.1,10.2,9.8,9.2,7.9,9.3,7.9,9.2,8.8
Poverty headcount ratio at national poverty lines (% of population),India,IND,Asia,..,..,..,..,37.2,..,..,..,..,29.8,..,21.9,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Indonesia,IDN,Asia,19.1,18.4,18.2,17.4,16.7,16,17.8,16.6,15.4,14.1,13.3,12.5,12,11.4,11.3,11.2
Poverty headcount ratio at national poverty lines (% of population),"Iran, Islamic Rep.",IRN,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Iraq,IRQ,Asia,..,..,..,..,..,..,22.4,..,..,..,..,..,18.9,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Ireland,IRL,Europe,..,..,..,20.9,19.7,18.5,17.2,15.5,15,15.2,15.2,16.3,15.7,16.4,16.2,16.8
Poverty headcount ratio at national poverty lines (% of population),Isle of Man,IMN,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Israel,ISR,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Italy,ITA,Europe,..,..,..,..,19.2,19.3,19.5,18.9,18.4,18.7,19.8,19.5,19.3,19.4,19.9,20.6
Poverty headcount ratio at national poverty lines (% of population),Jamaica,JAM,North America,18.7,16.9,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6,..,19.9,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Japan,JPN,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Jordan,JOR,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Kazakhstan,KAZ,Asia,..,46.7,44.5,37.5,33.9,31.6,18.2,12.7,12.1,8.2,6.5,5.5,3.8,2.9,2.8,2.7
Poverty headcount ratio at national poverty lines (% of population),Kenya,KEN,Africa,..,..,..,..,..,46.8,..,..,..,..,..,..,..,..,..,36.1
Poverty headcount ratio at national poverty lines (% of population),Kiribati,KIR,Oceania,..,..,..,..,..,..,21.8,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),"Korea, Dem. People’s Rep.",PRK,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),"Korea, Rep.",KOR,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Kosovo,XKX,Europe,..,..,..,..,..,..,..,..,..,..,..,..,22.9,17.6,21.1,17.6
Poverty headcount ratio at national poverty lines (% of population),Kuwait,KWT,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Kyrgyz Republic,KGZ,Asia,..,..,..,..,..,..,39.9,35,31.7,31.7,33.7,36.8,38,37,30.6,32.1
Poverty headcount ratio at national poverty lines (% of population),Lao PDR,LAO,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Latvia,LVA,Europe,..,..,..,..,19.4,23.5,21.2,25.9,26.4,20.9,19,19.2,19.4,21.2,22.5,21.8
Poverty headcount ratio at national poverty lines (% of population),Lebanon,LBN,Asia,..,..,..,..,..,..,..,..,..,..,..,27.4,27.4,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Lesotho,LSO,Africa,..,..,56.6,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Liberia,LBR,Africa,..,..,..,..,..,..,..,63.8,..,..,..,..,..,..,54.1,..
Poverty headcount ratio at national poverty lines (% of population),Libya,LBY,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Liechtenstein,LIE,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Lithuania,LTU,Europe,..,..,..,..,20.5,20,19.1,20.9,20.3,20.5,19.2,18.6,20.6,19.1,22.2,21.9
Poverty headcount ratio at national poverty lines (% of population),Luxembourg,LUX,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.5
Poverty headcount ratio at national poverty lines (% of population),"Macao SAR, China",MAC,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),North Macedonia,MKD,Europe,..,..,..,..,..,..,..,..,..,27,26.8,26.2,24.2,22.1,21.5,21.9
Poverty headcount ratio at national poverty lines (% of population),Madagascar,MDG,Africa,..,70.8,..,..,..,73.2,..,..,..,..,71.7,..,70.7,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Malawi,MWI,Africa,..,..,..,..,52.4,..,..,..,..,..,50.7,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Malaysia,MYS,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.6
Poverty headcount ratio at national poverty lines (% of population),Maldives,MDV,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Mali,MLI,Africa,..,50.9,..,..,..,..,41.7,..,..,41.1,..,45.4,..,47.1,46.9,47.2
Poverty headcount ratio at national poverty lines (% of population),Malta,MLT,Europe,..,..,..,..,..,14.2,15.1,15.3,14.9,15.5,15.6,15.1,15.8,15.8,16.6,16.5
Poverty headcount ratio at national poverty lines (% of population),Marshall Islands,MHL,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Mauritania,MRT,Africa,51,..,..,..,46.7,..,..,..,42,..,..,..,..,..,31,..
Poverty headcount ratio at national poverty lines (% of population),Mauritius,MUS,Africa,..,..,..,..,..,..,..,..,..,..,..,..,7.9,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Mexico,MEX,North America,..,..,..,..,..,..,..,..,44.4,..,..,..,45.5,..,46.2,..
Poverty headcount ratio at national poverty lines (% of population),"Micronesia, Fed. Sts.",FSM,Oceania,..,..,..,..,..,29.9,..,..,..,..,..,..,..,41.2,..,..
Poverty headcount ratio at national poverty lines (% of population),Moldova,MDA,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.5,25.4
Poverty headcount ratio at national poverty lines (% of population),Monaco,MCO,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Mongolia,MNG,Asia,..,..,..,..,..,..,..,..,..,..,38.8,33.7,27.4,..,21.6,..
Poverty headcount ratio at national poverty lines (% of population),Montenegro,MNE,Europe,..,..,..,..,..,..,..,..,..,..,..,..,25.2,24.1,24.4,24
Poverty headcount ratio at national poverty lines (% of population),Morocco,MAR,Africa,15.3,..,..,..,..,..,8.9,8.9,..,..,..,..,..,4.8,..,..
Poverty headcount ratio at national poverty lines (% of population),Mozambique,MOZ,Africa,..,..,54.1,..,..,..,..,..,54.7,..,..,..,..,..,46.1,..
Poverty headcount ratio at national poverty lines (% of population),Myanmar,MMR,Asia,..,..,..,..,..,48.2,..,..,..,..,42.2,..,..,..,..,32.1
Poverty headcount ratio at national poverty lines (% of population),Namibia,NAM,Africa,..,..,..,37.7,..,..,..,..,..,28.7,..,..,..,..,..,17.4
Poverty headcount ratio at national poverty lines (% of population),Nauru,NRU,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Nepal,NPL,Asia,..,..,..,..,..,..,..,..,..,..,25.2,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Netherlands,NLD,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.7
Poverty headcount ratio at national poverty lines (% of population),New Caledonia,NCL,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),New Zealand,NZL,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Nicaragua,NIC,North America,..,45.8,..,..,..,48.3,..,..,..,42.5,..,..,..,..,29.6,..
Poverty headcount ratio at national poverty lines (% of population),Niger,NER,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Nigeria,NGA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Northern Mariana Islands,MNP,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Norway,NOR,Europe,..,..,..,10.8,11.4,12,11.9,11.4,11.7,11.2,10.5,10,10.9,10.9,11.9,12.2
Poverty headcount ratio at national poverty lines (% of population),Oman,OMN,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Pakistan,PAK,Asia,..,64.3,..,..,51.7,50.4,..,44.1,..,..,36.8,36.3,..,29.5,..,24.3
Poverty headcount ratio at national poverty lines (% of population),Palau,PLW,Oceania,..,..,..,..,..,..,24.9,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Panama,PAN,North America,37.9,..,..,..,..,36.6,38.3,36.5,33.8,33.4,29.8,27.6,26.5,25.8,25.6,23
Poverty headcount ratio at national poverty lines (% of population),Papua New Guinea,PNG,Oceania,..,..,..,..,..,..,..,..,..,39.9,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Paraguay,PRY,South America,..,..,57.7,51.4,48.8,44.9,48.9,45.3,43.2,41.6,39,37,31.4,28,27.2,26.6
Poverty headcount ratio at national poverty lines (% of population),Peru,PER,South America,..,..,..,..,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9,22.7,21.8
Poverty headcount ratio at national poverty lines (% of population),Philippines,PHL,Asia,..,..,..,24.9,..,..,26.6,..,..,26.3,..,..,25.2,..,..,21.6
Poverty headcount ratio at national poverty lines (% of population),Poland,POL,Europe,..,..,..,..,20.5,19.1,17.3,16.9,17.1,17.6,17.7,17.1,17.3,17,17.6,17.3
Poverty headcount ratio at national poverty lines (% of population),Portugal,PRT,Europe,..,..,..,..,19.4,18.5,18.1,18.5,17.9,17.9,18,17.9,18.7,19.5,19.5,19
Poverty headcount ratio at national poverty lines (% of population),Puerto Rico,PRI,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Qatar,QAT,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Romania,ROU,Europe,..,..,..,..,..,..,24.6,23.6,22.1,21.6,22.3,22.9,23,25.1,25.4,25.3
Poverty headcount ratio at national poverty lines (% of population),Russian Federation,RUS,Europe,29,..,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8,11.2,13.3
Poverty headcount ratio at national poverty lines (% of population),Rwanda,RWA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,39.1,..,..
Poverty headcount ratio at national poverty lines (% of population),Samoa,WSM,Oceania,..,..,..,..,..,..,..,..,26.9,..,..,..,..,20.3,..,..
Poverty headcount ratio at national poverty lines (% of population),San Marino,SMR,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Sao Tome and Principe,STP,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Saudi Arabia,SAU,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Senegal,SEN,Africa,..,55.2,..,..,..,48.3,..,..,..,..,..,46.7,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Serbia,SRB,Europe,..,..,..,..,..,..,..,..,..,..,..,..,24.5,25,26.7,25.9
Poverty headcount ratio at national poverty lines (% of population),Seychelles,SYC,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,39.3,..,..
Poverty headcount ratio at national poverty lines (% of population),Sierra Leone,SLE,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Singapore,SGP,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Sint Maarten (Dutch part),SXM,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Slovak Republic,SVK,Europe,..,..,..,..,13.3,11.6,10.6,10.9,11,12,13,13.2,12.8,12.6,12.3,12.7
Poverty headcount ratio at national poverty lines (% of population),Slovenia,SVN,Europe,..,..,..,..,12.2,11.6,11.5,12.3,11.3,12.7,13.6,13.5,14.5,14.5,14.3,13.9
Poverty headcount ratio at national poverty lines (% of population),Solomon Islands,SLB,Oceania,..,..,..,..,..,22.7,..,..,..,..,..,..,..,12.7,..,..
Poverty headcount ratio at national poverty lines (% of population),Somalia,SOM,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),South Africa,ZAF,Africa,..,..,..,..,..,66.6,..,..,62.1,..,53.2,..,..,..,55.5,..
Poverty headcount ratio at national poverty lines (% of population),South Sudan,SSD,Africa,..,..,..,..,..,..,..,..,..,50.6,..,..,50.1,..,55.1,65.6
Poverty headcount ratio at national poverty lines (% of population),Spain,ESP,Europe,..,..,..,..,20.1,20.3,19.7,19.8,20.4,20.7,20.6,20.8,20.4,22.2,22.1,22.3
Poverty headcount ratio at national poverty lines (% of population),Sri Lanka,LKA,Asia,..,..,22.7,..,..,..,15.2,..,..,8.9,..,..,6.7,..,..,..
Poverty headcount ratio at national poverty lines (% of population),St. Kitts and Nevis,KNA,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),St. Lucia,LCA,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),St. Martin (French part),MAF,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),St. Vincent and the Grenadines,VCT,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Sudan,SDN,Africa,..,..,..,..,..,..,..,..,..,46.5,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Suriname,SUR,South America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Eswatini,SWZ,Africa,69,69,..,..,..,..,..,..,..,63,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Sweden,SWE,Europe,..,..,..,..,..,..,..,13.5,14.4,14.8,15.4,15.2,16,15.6,16.3,16.2
Poverty headcount ratio at national poverty lines (% of population),Switzerland,CHE,Europe,..,..,..,..,..,..,15,15.7,15.6,15,15,15.9,14.5,13.8,15.6,14.7
Poverty headcount ratio at national poverty lines (% of population),Syrian Arab Republic,SYR,Asia,..,..,..,..,30.1,..,..,35.2,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Tajikistan,TJK,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,34.3,32,31.3
Poverty headcount ratio at national poverty lines (% of population),Tanzania,TZA,Africa,35.6,..,..,..,..,..,..,34.4,..,..,..,28.2,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Thailand,THA,Asia,42.3,..,32.4,..,26.8,..,21.9,20,20.4,17.9,16.4,13.2,12.6,10.9,10.5,7.2
Poverty headcount ratio at national poverty lines (% of population),Timor-Leste,TLS,Asia,..,36.3,..,..,..,..,..,50.4,..,..,..,..,..,..,41.8,..
Poverty headcount ratio at national poverty lines (% of population),Togo,TGO,Africa,..,..,..,..,..,..,61.7,..,..,..,..,58.7,..,..,..,55.1
Poverty headcount ratio at national poverty lines (% of population),Tonga,TON,Oceania,..,16.2,..,..,..,..,..,..,..,22.5,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Trinidad and Tobago,TTO,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Tunisia,TUN,Africa,25.4,..,..,..,..,23.1,..,..,..,..,20.5,..,..,..,..,15.2
Poverty headcount ratio at national poverty lines (% of population),Turkey,TUR,Asia,..,..,..,..,..,18.6,16.3,16.7,17.1,16.9,16.1,16.3,15,15,14.7,14.3
Poverty headcount ratio at national poverty lines (% of population),Turkmenistan,TKM,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),Turks and Caicos Islands,TCA,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
